2025-05-26 18:41:13,James,0.8103
2025-05-26 18:41:24,James,0.7248
2025-05-26 18:41:44,James,0.5961
2025-05-26 18:41:52,James,0.6093
2025-05-26 18:42:04,James,0.8215
2025-05-26 18:43:17,Alberto,0.8464
2025-05-26 18:43:25,Alberto,0.7648
2025-05-26 18:43:33,Alberto,0.6558
2025-05-26 18:43:42,Alberto,0.6436
2025-05-26 18:43:56,Alberto,0.7347
2025-05-26 18:57:45,Hubert,0.9379
2025-05-26 18:57:56,Hubert,0.7380
2025-05-26 18:58:07,Hubert,0.7119
2025-05-26 18:58:19,Hubert,0.7743
2025-05-26 18:58:39,Hubert,0.8385
2025-05-26 18:59:35,Wicek,0.9697
2025-05-26 18:59:46,Wicek,0.7820
2025-05-26 18:59:54,Wicek,0.6349
2025-05-26 19:00:04,Wicek,0.6331
2025-05-26 19:00:13,Wicek,0.8128
2025-05-26 19:01:24,leon,0.9735
2025-05-26 19:01:30,leon,0.7382
2025-05-26 19:01:38,leon,0.6805
2025-05-26 19:01:49,leon,0.7367
2025-05-26 19:02:03,leon,0.7718
2025-05-26 19:05:27,Ania,0.8608
2025-05-26 19:05:34,Ania,0.6314
2025-05-26 19:05:44,Ania,0.5895
2025-05-26 19:05:52,Ania,0.6195
2025-05-26 19:06:01,Ania,0.6851
2025-05-26 19:12:42,italia,0.9524
2025-05-26 19:12:49,italia,0.8231
2025-05-26 19:12:59,italia,0.6995
2025-05-26 19:13:07,italia,0.7221
2025-05-26 19:13:19,italia,0.8198
2025-05-26 19:17:40,kozhin,0.9262
2025-05-26 19:17:48,kozhin,0.7555
2025-05-26 19:17:58,kozhin,0.7069
2025-05-26 19:18:07,kozhin,0.7958
2025-05-26 19:18:19,kozhin,0.8790
2025-05-26 19:24:04,aziz,0.9525
2025-05-26 19:24:10,aziz,0.7963
2025-05-26 19:24:21,aziz,0.6480
2025-05-26 19:24:30,aziz,0.6256
2025-05-26 19:24:40,aziz,0.8013
2025-05-26 20:28:12,stephen,0.9326
2025-05-26 20:28:22,stephen,0.7338
2025-05-26 20:28:36,stephen,0.5859
2025-05-26 20:28:45,stephen,0.6420
2025-05-26 20:28:55,stephen,0.7139
